#{"t_start": 1764997027.529922, "env_id": "Ant-v5"}
r,l,t
-47.657082,32,156.259903
-53.726651,57,157.201272
-22.301034,23,157.245814
-24.373403,13,157.269451
-33.624041,101,158.314262
-30.237139,25,158.358489
-94.850962,91,159.109022
-46.332729,24,159.15134
-31.844631,31,159.206213
-67.633852,57,160.177779
-15.567262,13,160.20113
-20.684007,17,160.23158
-50.212001,47,160.314056
0.13919,17,160.344479
-29.148194,12,160.365922
-54.393489,47,161.197105
-61.144676,48,161.281443
-54.890289,69,162.221419
-61.728787,26,162.271023
-41.309897,22,162.310333
-14.028812,16,162.338794
-98.325493,94,163.35091
-13.135007,25,163.397394
-23.773069,25,163.443726
-12.028144,18,163.477114
-22.103733,19,164.415784
-140.048821,101,164.595268
-37.328483,29,165.791629
-45.664149,24,165.834332
-1222.714189,1000,169.336141
-29.52798,45,169.416385
-69.009955,54,169.514212
-126.750004,79,170.558009
-28.842615,111,171.431283
-65.147907,33,171.489651
-1129.646499,1000,175.415838
-64.023718,90,176.290741
-14.737184,16,176.319692
-85.675173,61,176.427738
-117.019714,55,177.439952
-14.245474,13,177.463754
-22.208387,22,177.503355
-38.542877,62,177.614723
-28.712842,22,178.624951
-91.013791,43,178.701153
-96.17024,80,179.917141
-49.69784,21,179.954497
-38.133983,29,180.005661
-47.997122,22,180.044674
-27.625247,19,180.078464
-47.688157,54,180.950125
-24.814098,44,181.030876
-52.465741,33,181.090055
-8.98469,9,181.106452
-80.23323,58,182.093944
-77.609833,56,182.196036
-25.762015,19,182.23001
-29.803822,30,183.371491
-58.435173,25,183.416094
-45.988537,37,183.481919
-89.243429,77,184.570642
-73.564619,84,184.719113
-19.370317,12,184.74067
-57.515787,25,185.895277
-278.355937,143,186.646277
-15.12953,16,186.675094
-26.679588,16,186.70383
-13.267628,20,186.739456
-45.802263,29,186.791295
-23.822688,21,187.596755
-125.84688,82,187.741408
-115.594022,76,189.011175
-36.642024,44,189.088601
-90.835115,54,190.040343
-90.104529,51,190.134679
-24.809695,17,190.165386
-51.410171,52,191.398105
-33.625674,19,191.432219
-2.658051,16,191.460819
-70.617567,97,192.663826
-64.218809,30,192.717515
-18.610927,14,192.742865
-1118.048064,1000,196.402536
-33.556269,58,196.50763
-15.459177,19,196.54157
-54.275763,22,196.582199
-64.749558,41,197.54331
-45.966636,56,197.642617
-74.935638,68,198.704225
-33.75008,26,198.750984
-7.606329,13,198.77452
-18.360777,25,198.818959
-68.187472,41,199.731037
-8.863216,14,199.756306
-1.771732,16,199.785149
-22.900717,30,199.83843
-10.155708,17,199.86902
-20.123023,12,199.89075
-24.001835,21,199.928374
-20.639588,19,200.673929
-44.920998,33,200.732253
-14.596601,13,200.759412
-25.96854,20,200.79515
-42.794797,59,201.777552
-8.619974,19,201.81141
-28.102807,15,201.838096
-13.850719,11,201.857866
-12.190647,13,201.8811
-13.642964,16,201.909767
-19.99005,11,201.929785
-86.374304,63,202.711882
-24.749044,17,202.742703
-24.345902,11,202.7625
-84.751571,40,202.83343
-8.703794,17,202.863795
-23.175324,12,202.885529
-27.476112,22,203.725191
-37.848039,48,203.810173
-30.628063,20,203.845741
-37.881186,15,203.872666
-85.271428,35,204.864053
-50.934199,26,204.909973
-17.36818,14,204.934875
-84.30227,36,204.998252
-21.882222,15,205.024859
-39.283985,30,205.872463
-79.151228,38,205.944035
-651.639214,565,208.218254
-46.568927,33,208.276924
-19.767713,12,209.097731
-11.304011,12,209.119348
-24.792921,51,209.209263
-50.338085,74,210.395501
-5.077243,28,210.445718
-43.942441,37,210.511303
-36.091719,29,210.562772
-37.519372,30,211.425122
