#{"t_start": 1764883055.9193907, "env_id": "Ant-v5"}
r,l,t
-19.820176,27,41.791269
0.784502,44,41.831228
-11.090655,13,41.842451
-31.384443,36,41.875501
-17.953096,47,45.624694
-16.233937,34,45.658224
-60.154528,40,45.699056
-5.192322,13,45.711464
-97.374727,92,45.79371
-34.072787,15,45.807747
-227.308693,177,45.989189
-35.481302,24,46.016567
-19.131294,35,46.048779
-31.358268,75,46.123864
-19.986355,33,46.154564
-29.699699,26,46.179259
-20.042323,18,46.195295
-17.875572,48,46.243419
-58.513452,53,46.294343
-8.710692,12,46.305425
-69.186569,49,46.657951
-935.768036,1000,47.615795
-85.134632,46,47.657858
-16.447774,14,47.670887
-130.53657,130,47.796767
-36.573811,52,47.84364
-0.548479,19,47.861301
-81.149201,75,47.93855
-14.369254,37,47.973336
-185.095579,156,48.122126
-15.709855,20,48.140885
-12.721053,34,48.171542
-88.340782,69,48.239264
-769.211891,762,49.266907
-21.427526,29,49.29464
-90.739549,57,49.347088
-66.007786,72,49.411545
-54.469726,58,49.471813
-18.074861,18,49.488611
-9.048975,21,49.515799
-32.685468,49,49.566735
-16.829094,30,49.598125
-24.761794,18,49.616533
-69.253223,85,49.695048
-25.834778,87,49.780892
-109.256939,75,49.849437
-7.016979,20,49.870829
-10.687258,9,49.878646
-12.4985,28,49.906393
-14.086577,23,49.92726
-28.003732,30,49.955181
-10.657576,10,49.963924
-17.500001,32,49.993913
-87.816959,52,50.040195
-31.125872,18,50.056973
-0.194664,24,50.083172
-21.626261,17,50.101106
-53.139343,49,50.145767
-166.242547,195,50.334286
-53.919345,32,50.364244
10.437218,25,50.386286
-23.830115,20,50.404848
-77.440307,89,50.492567
-25.062509,30,50.521126
-77.237402,120,50.636352
-25.041729,62,50.693009
-56.968762,47,50.742077
-20.500794,26,50.767216
-692.320358,728,51.788565
-48.763358,33,51.823241
-902.862105,1000,52.86963
-71.289049,77,52.956851
-28.395678,34,52.9956
-57.753436,78,53.080968
-100.27276,111,53.204701
-116.0027,111,53.660066
-29.902612,46,53.706723
-38.299467,42,53.753507
-22.952243,14,53.766032
-12.108119,17,53.787628
-12.393526,22,53.806853
-35.519314,44,53.856183
-85.03391,109,53.970586
-21.850031,18,53.992746
-7.445718,16,54.007622
-20.449213,12,54.023481
-52.643798,47,54.073744
-49.629385,33,54.109079
-70.062408,54,54.169771
-40.822121,52,54.228892
-20.126786,18,54.249068
-19.480189,22,54.27199
-17.709295,18,54.293993
-31.369003,34,54.331076
-129.898564,141,54.488962
-26.257208,19,54.507418
-2.760252,14,54.525376
-4.97203,20,54.546811
-29.191223,36,54.587934
-49.717839,61,54.655464
-13.771755,15,54.669517
-18.977695,17,54.690333
-911.222181,1000,55.805271
-33.746028,54,55.863898
-72.123872,53,56.264556
-35.546203,16,56.282784
-52.955176,57,56.346595
-980.539118,1000,58.763453
-88.521821,61,58.831211
-13.379402,11,58.843106
-55.294423,68,58.921767
-6.492446,17,58.938087
-112.361181,93,59.037424
-23.757757,23,59.062916
25.710996,60,59.128767
-35.611009,69,59.201005
-107.948735,113,59.323833
-5.073012,20,59.341849
-21.09658,17,59.362871
-74.746406,49,59.418818
-172.743138,64,59.488179
-11.96312,13,59.499904
-81.671964,164,59.681037
-73.00779,72,59.760818
-21.074362,23,59.787215
-963.726553,1000,61.223671
-16.236247,14,61.237635
