#{"t_start": 1764885283.7526534, "env_id": "Ant-v5"}
r,l,t
566.000564,1000,132.419447
529.543498,1000,134.033889
467.441767,1000,139.608911
527.202011,1000,141.181471
498.97742,1000,142.791929
465.989597,1000,144.394714
538.319577,1000,145.987361
630.115873,1000,147.572764
624.536931,1000,149.257006
702.157084,1000,150.857136
624.168538,915,152.35289
653.937236,1000,153.999319
710.166519,1000,159.76183
689.530375,1000,161.341278
781.754967,1000,162.915891
769.413332,1000,164.487021
586.079007,1000,166.199186
773.850797,1000,167.822861
738.169195,1000,169.429422
775.845787,1000,171.165303
713.080907,1000,172.771757
744.545252,1000,174.37353
796.89133,1000,180.777073
753.412694,1000,182.774918
852.746364,1000,184.803
808.319328,1000,186.46483
668.462224,1000,188.081088
714.985494,1000,189.686134
813.526641,1000,191.28426
883.504746,1000,192.872171
836.15836,1000,194.467963
744.748045,1000,196.081676
801.819393,1000,203.086869
731.971611,1000,204.860085
747.482254,1000,206.459403
818.127941,1000,208.058596
844.919104,1000,209.631218
830.272192,1000,211.210506
800.712895,1000,212.832779
816.465772,1000,214.418062
856.167726,1000,215.990852
827.521198,1000,217.594377
895.135684,1000,223.783707
871.371083,1000,225.377994
857.689563,1000,226.966573
896.746739,1000,228.570964
887.814379,1000,230.172256
893.978474,1000,231.84189
904.443864,1000,233.435404
919.214901,1000,235.10771
822.772069,1000,236.741661
897.961461,1000,238.336276
925.129198,1000,243.904115
923.931996,1000,245.498315
925.006633,1000,247.202606
885.97106,1000,248.816419
874.365308,1000,250.382867
940.389069,1000,251.950615
975.994913,1000,253.523476
836.753066,1000,255.119201
879.421702,1000,256.69977
869.673588,1000,258.274025
897.927558,1000,263.917707
882.465871,1000,265.522499
906.167648,1000,267.112692
948.438409,1000,268.683078
834.731694,1000,270.257241
834.028407,1000,271.851221
865.041405,1000,273.475006
938.642801,1000,275.048435
301.610878,328,275.561934
222.046902,208,275.889052
896.814426,1000,277.477492
716.957774,1000,279.091671
858.406731,1000,283.996383
723.829767,824,285.312737
850.843412,1000,286.91568
895.028413,1000,288.5097
841.95021,1000,290.243772
691.213645,1000,291.859098
814.254972,1000,293.582177
941.602401,1000,295.262288
909.58579,1000,296.837523
763.607603,1000,298.389916
831.484649,1000,303.944725
768.362217,1000,305.514161
803.816007,1000,307.215682
870.261573,1000,308.888467
860.083234,1000,310.462926
901.501171,1000,312.074315
855.204118,1000,313.760184
868.095171,1000,315.358642
831.255397,1000,316.972292
37.461232,35,317.025856
844.366119,1000,318.701869
796.651703,1000,323.562067
522.445211,537,324.388303
148.856322,144,324.616461
600.4594,1000,326.2099
710.325085,1000,327.783845
634.003525,1000,329.381829
178.989203,130,329.584074
778.203488,1000,331.167899
781.592523,1000,332.733767
110.054789,119,332.914474
558.782954,1000,334.502666
19.560759,33,334.556484
13.251713,29,334.599087
2.389722,17,334.626692
10.66192,20,334.661552
44.003633,101,334.825192
14.88591,24,334.861898
25.746461,104,335.01923
4.796167,43,335.082468
